epoch,accuracy,loss,val_accuracy,val_loss
0,0.7681199908256531,0.47645536065101624,0.7954000234603882,0.43007856607437134
1,0.7931200265884399,0.4376300871372223,0.8058000206947327,0.42193475365638733
2,0.8108000159263611,0.41647660732269287,0.8127999901771545,0.4100595712661743
3,0.8106799721717834,0.41224342584609985,0.8069999814033508,0.409454882144928
4,0.8165599703788757,0.4082928001880646,0.8223999738693237,0.39373400807380676
5,0.825760006904602,0.3891676962375641,0.8235999941825867,0.39299219846725464
6,0.8285999894142151,0.38686132431030273,0.8325999975204468,0.3823535740375519
7,0.830839991569519,0.38142696022987366,0.8312000036239624,0.3782944679260254
8,0.8322399854660034,0.37952274084091187,0.8202000260353088,0.40132418274879456
9,0.8349999785423279,0.3734435439109802,0.8289999961853027,0.3845416307449341
