epoch,accuracy,loss,val_accuracy,val_loss
0,0.7403200268745422,0.5457790493965149,0.7965999841690063,0.43799644708633423
1,0.788919985294342,0.4591089189052582,0.795799970626831,0.43173590302467346
2,0.7920799851417542,0.44561299681663513,0.7833999991416931,0.4384593665599823
3,0.7967600226402283,0.44330254197120667,0.8094000220298767,0.4376217722892761
4,0.7974799871444702,0.44175559282302856,0.7419999837875366,0.4762639105319977
5,0.8019999861717224,0.43444910645484924,0.8154000043869019,0.4175594747066498
6,0.7992799878120422,0.4391249716281891,0.8184000253677368,0.42206719517707825
7,0.8041999936103821,0.4341692626476288,0.8180000185966492,0.417910099029541
8,0.8022800087928772,0.4360499083995819,0.8145999908447266,0.42893296480178833
9,0.8014000058174133,0.4393649995326996,0.8163999915122986,0.42840975522994995
