epoch,accuracy,loss,val_accuracy,val_loss
0,0.7922400236129761,0.45446956157684326,0.5058000087738037,2.211801290512085
1,0.8068400025367737,0.4258033335208893,0.7333999872207642,0.49250033497810364
2,0.8143200278282166,0.4157770574092865,0.7229999899864197,0.7892522215843201
3,0.8186799883842468,0.40621325373649597,0.7124000191688538,0.6252169013023376
4,0.8194000124931335,0.4042738974094391,0.7839999794960022,0.5436753630638123
5,0.820360004901886,0.39892151951789856,0.781000018119812,0.4599595069885254
6,0.8271999955177307,0.38960000872612,0.746999979019165,0.6181037425994873
7,0.834119975566864,0.37739887833595276,0.7035999894142151,0.5813385844230652
8,0.8409199714660645,0.36645594239234924,0.7200000286102295,0.6416581869125366
9,0.8472399711608887,0.35623109340667725,0.7703999876976013,0.7617709636688232
